vendorcountrycode	MaxOfNewFKrecipient_country_name	unmatched_name_count	PKCountry3LetterCode	SKCountry3LetterCodeText	any_name_match	PrimaryKeyTable	SecondaryKeyTable
ABW	ARUBA	1	ABW	ARUBA [NETHERLANDS]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
AIA	ANGUILLA	1	AIA	ANGUILLA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BHS	BAHAMAS, THE	1	BHS	BAHAMAS,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
BMU	BERMUDA	1	BMU	BERMUDA [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CIV	COTE D'IVOIRE	1	CIV	COTE DIVOIRE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COD	CONGO (KINSHASA)	1	COD	CONGO,DEMOCRATIC REPUBLIC OF THE (KINSHASA)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
COG	CONGO (BRAZZAVILLE)	1	COG	CONGO,REPUBLIC OF THE (BRAZZAVILLE)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CPV	CABO VERDE	1	CPV	CAPE VERDE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
CUW	CURACAO	1	CUW	Curaçao	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GIB	GIBRALTAR	1	GIB	GIBRALTAR [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GMB	GAMBIA, THE	1	GMB	GAMBIA,THE	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
GRL	GREENLAND	1	GRL	GREENLAND [DENMARK]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
IMN	ISLE OF MAN	1	IMN	MAN,ISLE OF	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
KOR	KOREA, SOUTH	1	KOR	SOUTH KOREA	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
MMR	BURMA	1	MMR	BURMA (MYANMAR)	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
NCL	NEW CALEDONIA	1	NCL	NEW CALEDONIA [FRANCE]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SSD	SOUTH SUDAN	1	SSD	REPUBLIC OF SOUTH SUDAN	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
SUR	SURINAME	1	NULL	NULL	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
TCA	TURKS AND CAICOS ISLANDS	1	TCA	TURKS AND CAICOS ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode
VGB	VIRGIN ISLANDS, BRITISH	1	VGB	BRITISH VIRGIN ISLANDS [UNITED KINGDOM]	0	FPDSTypeTable.vendorcountrycode	FPDSTypeTable.Country3LetterCode



Warning: Null value is eliminated by an aggregate or other SET operation.
idvagencyid	MaxOfNewFKparent_award_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
12D0	FARM PRODUCTION AND CONSERVATION BUSINESS CENTER	1	UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES	0	FPDSTypeTable.AgencyID
1323	US CENSUS BUREAU	1	BUREAU OF THE CENSUS	0	FPDSTypeTable.AgencyID
1344	US PATENT AND TRADEMARK OFFICE	1	PATENT AND TRADEMARK OFFICE	0	FPDSTypeTable.AgencyID
1406	DEPARTMENTAL OFFICES	1	OFFICE OF POLICY, MANAGEMENT, AND BUDGET	0	FPDSTypeTable.AgencyID
1434	US GEOLOGICAL SURVEY	1	GEOLOGICAL SURVEY	0	FPDSTypeTable.AgencyID
1450	BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION	1	BUREAU OF INDIAN AFFAIRS	1	FPDSTypeTable.AgencyID
1540	FEDERAL PRISON SYSTEM / BUREAU OF PRISONS	1	FEDERAL PRISON SYSTEM	0	FPDSTypeTable.AgencyID
1542	FEDERAL PRISON INDUSTRIES, INC.	1	FEDERAL PRISON INDUSTRIES / UNICOR	1	FPDSTypeTable.AgencyID
1605	OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT	1	OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT	0	FPDSTypeTable.AgencyID
6901	OFFICE OF THE SECRETARY	1	IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION	1	FPDSTypeTable.AgencyID
7505	OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE	1	OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET	0	FPDSTypeTable.AgencyID
7523	CENTERS FOR DISEASE CONTROL AND PREVENTION	1	CENTERS FOR DISEASE CONTROL	0	FPDSTypeTable.AgencyID
7528	AGENCY FOR HEALTHCARE RESEARCH AND QUALITY	1	AGENCY FOR HEALTH CARE POLICY AND RESEARCH	0	FPDSTypeTable.AgencyID
8960	FEDERAL ENERGY REGULATORY COMMISSION	1	FERC	0	FPDSTypeTable.AgencyID
9568	UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG	1	BROADCASTING BOARD OF GOVERNORS	0	FPDSTypeTable.AgencyID
97AV	DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY	1	DEFENSE SECURITY SERVICE	0	FPDSTypeTable.AgencyID



Warning: Null value is eliminated by an aggregate or other SET operation.
maj_fund_agency_cat	MaxOfNewFKfunding_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
1100	EXECUTIVE OFFICE OF THE PRESIDENT (EOP)	1	EXECUTIVE OFFICE OF THE PRESIDENT	0	FPDSTypeTable.AgencyID
1125	PEACE CORPS (PC)	1	PEACE CORPS (EOP)	1	FPDSTypeTable.AgencyID
1130	INTER-AMERICAN FOUNDATION (EOP)	1	NATIONAL SPACE COUNCIL	0	FPDSTypeTable.AgencyID
1133	UNITED STATES TRADE AND DEVELOPMENT AGENCY (USTDA)	1	UNITED STATES TRADE AND DEVELOPMENT AGENCY (EOP)	1	FPDSTypeTable.AgencyID
1601	DEPARTMENT OF LABOR (DOL)	1	IMMEDIATE OFFICE OF THE SECRETARY OF LABOR	0	FPDSTypeTable.AgencyID
1602	PENSION BENEFIT GUARANTY CORPORATION (PBGC)	1	PENSION BENEFIT GUARANTY CORPORATION (DOL)	1	FPDSTypeTable.AgencyID
164	INTER-AMERICAN FOUNDATION (EOP)	1	INTER-AMERICAN FOUNDATION (IAF)	1	FPDSTypeTable.AgencyID
3300	SMITHSONIAN INSTITUTION (SI)	1	SMITHSONIAN INSTITUTION	0	FPDSTypeTable.AgencyID
3301	JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS (KENNEDY CENTER)	1	JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS (SI)	1	FPDSTypeTable.AgencyID
3302	NATIONAL GALLERY OF ART (NGA)	1	NATIONAL GALLERY OF ART (SI)	1	FPDSTypeTable.AgencyID
510	U.S. CHEMICAL SAFETY & HAZARD INVESTIGATION BOARD (CSB)	1	UNITED STATES CHEMICAL SAFETY BOARD (CSB)	1	FPDSTypeTable.AgencyID
514	U.S. AGENCY FOR GLOBAL MEDIA (USAGM)	1	BROADCASTING BOARD OF GOVERNORS (BBG)	1	FPDSTypeTable.AgencyID



Warning: Null value is eliminated by an aggregate or other SET operation.
fundingrequestingagencyid	MaxOfNewFKfunding_sub_agency_name	unmatched_name_count	PKAgencyIDtext	any_name_match	PrimaryKeyTable
0400	UNITED STATES GOVERNMENT PUBLISHING OFFICE	1	GOVERNMENT PRINTING OFFICE	0	FPDSTypeTable.AgencyID
1203	USDA, OFFICE OF GENERAL COUNSEL	1	OFFICE OF THE GENERAL COUNSEL	0	FPDSTypeTable.AgencyID
1205	USDA, DEPARTMENTAL ADMINISTRATION	1	USDA, OFFICE OF THE CHIEF FINANCIAL OFFICER	0	FPDSTypeTable.AgencyID
1208	USDA, OFFICE OF COMMUNICATION	1	OFFICE OF COMMUNICATIONS	0	FPDSTypeTable.AgencyID
12A2	USDA, OFFICE OF EXECUTIVE SECRETARIAT	1	OFFICE OF EXECUTIVE SECRETARIAT	0	FPDSTypeTable.AgencyID
12A4	USDA, OFFICE OF HOMELAND SECURITY AND EMERGENCY COORDINATION	1	USDA, HOMELAND SECURITY	0	FPDSTypeTable.AgencyID
12A5	USDA, OFFICE OF THE CHIEF ECONOMIST	1	OFFICE OF THE CHIEF ECONOMIST	0	FPDSTypeTable.AgencyID
12A6	USDA, OFFICE OF BUDGET AND PROGRAM ANALYSIS	1	OFFICE OF BUDGET AND PROGRAM ANALYSIS	0	FPDSTypeTable.AgencyID
12A8	USDA, OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION	1	OFFICE OF SMALL AND DISADVANTAGED BUSINESS UTILIZATION	0	FPDSTypeTable.AgencyID
12A9	USDA, NATIONAL APPEALS DIVISION	1	NATIONAL APPEALS DIVISION	0	FPDSTypeTable.AgencyID
12B2	USDA, OFFICE OF ASSISTANT SECRETARY OF CIVIL RIGHTS	1	OFFICE OF CIVIL RIGHTS	0	FPDSTypeTable.AgencyID
12B3	USDA, OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT	1	OFFICE OF PROCUREMENT AND PROPERTY MANAGEMENT	0	FPDSTypeTable.AgencyID
12B5	USDA, OFFICE OF HUMAN RESOURCE MANAGEMENT	1	OFFICE OF HUMAN RESOURCES MANAGEMENT	0	FPDSTypeTable.AgencyID
12B6	USDA, OFFICE OF ADMINISTRATIVE LAW JUDGE	1	OFFICE OF ADMINISTRATIVE LAW JUDGE	0	FPDSTypeTable.AgencyID
12B7	USDA, OFFICE OF THE JUDICIAL OFFICER	1	OFFICE OF THE JUDICIAL OFFICER	0	FPDSTypeTable.AgencyID
12B8	USDA, BOARD OF CONTRACT APPEALS	1	BOARD OF CONTRACT APPEALS	0	FPDSTypeTable.AgencyID
12BC	USDA, OFFICE OF PARTNERSHIPS AND PUBLIC ENGAGEMENT	1	OFFICE OF ADMINISTRATIVE SUPPORT	0	FPDSTypeTable.AgencyID
12BD	USDA, OFFICE OF ETHICS	1	OFFICE OF ETHICS	0	FPDSTypeTable.AgencyID
12D0	FARM PRODUCTION AND CONSERVATION BUSINESS CENTER	1	UNDER SECRETARY FOR FARM AND FOREIGN AGRICULTURAL SERVICES	0	FPDSTypeTable.AgencyID
12H3	NATIONAL INSTITUTE OF FOOD AND AGRICULTURE	1	COOPERATIVE STATE RESEARCH, EDUCATION, AND EXTENSION SERVICE	0	FPDSTypeTable.AgencyID
12J2	USDA, OFFICE OF CONGRESSIONAL RELATIONS	1	OFFICE OF CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS	0	FPDSTypeTable.AgencyID
1323	US CENSUS BUREAU	1	BUREAU OF THE CENSUS	0	FPDSTypeTable.AgencyID
1344	US PATENT AND TRADEMARK OFFICE	1	PATENT AND TRADEMARK OFFICE	0	FPDSTypeTable.AgencyID
1406	DEPARTMENTAL OFFICES	1	OFFICE OF POLICY, MANAGEMENT, AND BUDGET	0	FPDSTypeTable.AgencyID
1409	INSULAR AFFAIRS	1	OFFICE OF TERRITORIAL AND INTERNATIONAL AFFAIRS	0	FPDSTypeTable.AgencyID
1414	BUREAU OF TRUST FUNDS ADMINISTRATION	1	EXECUTIVE SECRETARIAT	0	FPDSTypeTable.AgencyID
1434	US GEOLOGICAL SURVEY	1	GEOLOGICAL SURVEY	0	FPDSTypeTable.AgencyID
1450	BUREAU OF INDIAN AFFAIRS AND BUREAU OF INDIAN EDUCATION	1	BUREAU OF INDIAN AFFAIRS	1	FPDSTypeTable.AgencyID
1540	FEDERAL PRISON SYSTEM / BUREAU OF PRISONS	1	FEDERAL PRISON SYSTEM	0	FPDSTypeTable.AgencyID
1542	FEDERAL PRISON INDUSTRIES, INC.	1	FEDERAL PRISON INDUSTRIES / UNICOR	1	FPDSTypeTable.AgencyID
1601	OFFICE OF THE SECRETARY OF LABOR	1	IMMEDIATE OFFICE OF THE SECRETARY OF LABOR	1	FPDSTypeTable.AgencyID
1605	OFFICE OF THE ASSISTANT SECRETARY FOR ADMINISTRATION AND MANAGEMENT	1	OFFICE OF THE ASSISTANT SECRETARY FOR ADMIN AND MANAGEMENT	0	FPDSTypeTable.AgencyID
1607	OFF OF  CONGRESSIONAL AND INTERGOVERNMENTAL AFFAIRS	1	OFF OF THE DEPUTY UNDER SECRETARY FOR CONGRESSIONAL AFFAIRS	1	FPDSTypeTable.AgencyID
1608	OFFICE OF PUBLIC AFFAIRS	1	OFFICE OF INFORMATION AND PUBLIC AFFAIRS	1	FPDSTypeTable.AgencyID
1622	OFFICE OF CHIEF FINANCIAL OFFICER	1	OFFICE OF THE CHIEF FINANCIAL OFFICER	0	FPDSTypeTable.AgencyID
1639	OFFICE OF LABOR-MANAGEMENT STANDARDS	1	1639	0	FPDSTypeTable.AgencyID
1667	OFFICE OF DISABILITY EMPLOYMENT POLICY	1	PRESIDENT'S COMMITTEE ON EMPLOYMENT OF THE HANDICAPPED	1	FPDSTypeTable.AgencyID
2084	SPEC INSP GEN FOR PANDEMIC RECOVERY	1	SPEC INSP GEN FOR PANDEMIC RESPONSE	1	FPDSTypeTable.AgencyID
6901	OFFICE OF THE SECRETARY	1	IMMEDIATE OFFICE OF THE SECRETARY OF TRANSPORTATION	1	FPDSTypeTable.AgencyID
6959	SURFACE TRANSPORTATION BOARD	1	FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION	0	FPDSTypeTable.AgencyID
7032	OFFICE OF INTELLIGENCE AND ANALYSIS	1	OFFICE FOR INFORMATION ANALYSIS	0	FPDSTypeTable.AgencyID
7040	SCIENCE AND TECHNOLOGY	1	OFFICE OF THE UNDER SECRETARY FOR SCIENCE AND TECHNOLOGY	0	FPDSTypeTable.AgencyID
7505	OFFICE OF ASSISTANT SECRETARY FOR PREPAREDNESS AND RESPONSE	1	OFFICE OF ASSISTANT SECRETARY FOR MANAGEMENT AND BUDGET	0	FPDSTypeTable.AgencyID
7509	OFFICE OF INTERGOVERNMENTAL AND EXTERNAL AFFAIRS	1	OFFICE OF INTERGOVERNMENTAL AFFAIRS AND REGIONAL DIRECTORS	0	FPDSTypeTable.AgencyID
7523	CENTERS FOR DISEASE CONTROL AND PREVENTION	1	CENTERS FOR DISEASE CONTROL	0	FPDSTypeTable.AgencyID
7528	AGENCY FOR HEALTHCARE RESEARCH AND QUALITY	1	AGENCY FOR HEALTH CARE POLICY AND RESEARCH	0	FPDSTypeTable.AgencyID
8653	OFFICE OF LEAD HAZARD CONTROL AND HEALTHY HOMES	1	OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL	0	FPDSTypeTable.AgencyID
8960	FEDERAL ENERGY REGULATORY COMMISSION	1	FERC	0	FPDSTypeTable.AgencyID
9519	INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT	1	INTELLIGENCE COMMUNITY STAFF	0	FPDSTypeTable.AgencyID
9568	UNITED STATES AGENCY FOR GLOBAL MEDIA, BBG	1	BROADCASTING BOARD OF GOVERNORS	0	FPDSTypeTable.AgencyID
9700	DEPT OF DEFENSE	1	DEPARTMENT OF DEFENSE	0	FPDSTypeTable.AgencyID
97AV	DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY	1	DEFENSE SECURITY SERVICE	0	FPDSTypeTable.AgencyID
97F6	OFFICE OF LOCAL DEFENSE COMMUNITY COOPERATION	1	OFFICE OF ECONOMIC ADJUSTMENT	0	FPDSTypeTable.AgencyID



Warning: Null value is eliminated by an aggregate or other SET operation.
fundingrequestingofficeid	MaxOfNewFKfunding_office_name	unmatched_name_count	PKContractingOfficeName	any_name_match	PrimaryKeyTable
107103	US DISTRICT COURT, AR	1	US DISTRICT COURT	1	Office.ContractingOfficeCode
108409	US PROBATION OFFICE, UTAH	1	US PROBATION OFFICE	1	Office.ContractingOfficeCode
113164	EOP-OFC OF SCIENCE&TECH POLICY	1	EOP-OFC OF SCIENCE  TECH POLICY	1	Office.ContractingOfficeCode
120109	ALASKA REGIONAL OFFICE, R10	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120112	TONGASS NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120114	TONGASS NF SITKA OFFICE	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120120	CHUGACH NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
12013E	NRCS-AK-DILLINGHAM FO	1	USDA NRCS	1	Office.ContractingOfficeCode
120150	NRCS-AK STATE OFFICE	1	USDA NRCS	1	Office.ContractingOfficeCode
120169	VS FED-STATE LAB PALMER AK	1	USDA  APHIS  VS	1	Office.ContractingOfficeCode
120205	USDA ARS PWA WMR	1	USDA ARS PWA NWRC	1	Office.ContractingOfficeCode
120208	USDA ARS PWA NWISR	1	USDA ARS PWA NWISRL	1	Office.ContractingOfficeCode
120211	NRCS-ID STATE OFFICE	1	USDA NRCS	1	Office.ContractingOfficeCode
120252	NEZ PERCE-CLEARWATER NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
120261	BOISE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120267	SAWTOOTH NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
120281	IDAHO PANHANDLE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120295	USDA FOREST SERVICE, R1	1	NEZ PERCE-CLEARWATER NFS	1	Office.ContractingOfficeCode
1202L3	SALMON AND CHALLIS NATIONAL FORESTS	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1202NV	CARIBOU-TARGHEE NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1202NZ	PPQ PCN	1	USDA APHIS PPQ PCN	1	Office.ContractingOfficeCode
1202WW	PAYETTE NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
1202YH	USDA  APHIS  WILDLIFE SERVICES	1	USDA  APHIS  ANIMAL DAMAGE CONTROL	1	Office.ContractingOfficeCode
120311	USDA ARS PA RLR	1	USDA ARS PA LARRL	1	Office.ContractingOfficeCode
120325	NRCS-MT STATE OFFICE	1	USDA NRCS MONTANA SO	1	Office.ContractingOfficeCode
120342	USDA FSA	1	FSA-MT STATE OFFICE	1	Office.ContractingOfficeCode
120343	REGIONAL OFFICE, R1	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120345	AERIAL FIRE DEPOT	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120349	TRAPPER CREEK JOB CORPS -BITTERROOT NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120351	BITTERROOT NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120391	FLATHEAD NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120398	CUSTER GALLATIN NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1203H6	HELENA NATIONAL FOREST	1	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
1203J1	KOOTENAI NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1203K0	LEWIS&CLARK NATIONAL FOREST	2	USDA  FOREST SERVICE	1	Office.ContractingOfficeCode
1203L7	ANACONDA JOB CORPS CENTER	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1203R6	LOLO NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1203TT	MISSOULA TECHNOLOGY AND DEVELOPMENT CENTER	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
120404	USDA ARS PWA RMFMR	1	USDA ARS PWA EOARC	1	Office.ContractingOfficeCode
120408	USDA ARS PWA FSCR	1	USDA ARS PWA NFSPRC	1	Office.ContractingOfficeCode
120426	USDA ARS PWA SWCR	1	USDA ARS PWA CPCRC	1	Office.ContractingOfficeCode
120436	USDA NRCS	1	NRCS-OR STATE OFFICE	1	Office.ContractingOfficeCode
120458	FSA-OR STATE OFFICE	1	USDA FSA	1	Office.ContractingOfficeCode
120467	MOUNT HOOD NATIONAL FOREST	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
1204GG	USDA  FOREST SERVICE	1	DESCHUTES NATIONAL FOREST	1	Office.ContractingOfficeCode
1204H1	PACIFIC NORTHWEST REGIONAL OFFICE	1	USDA FOREST SERVICE	1	Office.ContractingOfficeCode
